ricks; 224 Abbot Rd, East Lansing, MI 48823
pts; 210 Abbott Rd., East Lansing, MI 48823
elAz;  225 Ann St, East Lansing, MI 48823
harpers; 131 Albert Ave, East Lansing, MI 48823
theRiv; 231 M. A. C. Ave, East Lansing, MI 48823
peanutBarrel;  521 E Grand River Ave, East Lansing, MI 48823
tinCan; 313 E Grand River Ave
crunchys; 254 E Grand River Ave, East Lansing, MI 48823
dublin; 327 Abbot Rd, East Lansing, MI 48823
louHas; 211 E Grand River Ave, MI 48823 
hopCat; 300 Grove St, East Lansing, MI 48823
fieldHouse; 213 Ann St, East Lansing, MI 48823
landshark; 101 E Grand River Ave, East Lansing, MI 48823
beggars; 218 Abbot Rd, East Lansing, MI 48823
